row,asset,helm_catalog_id,family,description,s52_instruction,s52_asset_kind,s57_object_class,s57_lookup_id,s57_rcid,s57_conditions,art_state,visual_approval,chart1_evidence_status,chart1_gate_status,chart1_crop_id,chart1_pages,chart1_verdict,chart1_reason_codes,s101_coverage,s101_symbol_id,s101_symbol_file,s101_feature_rule,s101_license_status,commons_pd_candidate_count,commons_candidate_titles,chart1_mappings_int1_refs,canonical_symbol_ids,canonical_paths,next_action,forbidden_sources
11,AISDEF01,$CSYMB_AISDEF01_1608,ugly_attribute_edges,AIS target whose heading and course are both unknown,SY(AISDEF01),symbol,$CSYMB,1608,31660,$SCODEAISDEF01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
12,AISONE01,$CSYMB_AISONE01_1609,ugly_attribute_edges,one minute mark for AIS vector,SY(AISONE01),symbol,$CSYMB,1609,31661,$SCODEAISONE01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
13,AISSIX01,$CSYMB_AISSIX01_1610,ugly_attribute_edges,six minute mark for AIS vector,SY(AISSIX01),symbol,$CSYMB,1610,31662,$SCODEAISSIX01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
14,AISSLP01,$CSYMB_AISSLP01_1611,ugly_attribute_edges,sleeping AIS target,"SY(AISSLP01,ORIENT)",symbol,$CSYMB,1611,31663,$SCODEAISSLP01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
15,AISVES01,$CSYMB_AISVES01_1612,ugly_attribute_edges,active AIS target showing vector and/or heading,"SY(AISVES01,ORIENT)",symbol,$CSYMB,1612,31664,$SCODEAISVES01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
16,ARCSLN01,ARCSLN_ARCSLN01_7,areas_patterns_lines,,LC(ARCSLN01),line-style,ARCSLN,7,32043,,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,feature_rule_candidate,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
17,ARPATG01,$CSYMB_ARPATG01_1613,ugly_attribute_edges,ARPA target,SY(ARPATG01),symbol,$CSYMB,1613,31665,$SCODEARPATG01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
18,ARPONE01,$CSYMB_ARPONE01_1614,ugly_attribute_edges,one minute mark on ARPA vector,"SY(ARPONE01,ORIENT)",symbol,$CSYMB,1614,31666,$SCODEARPONE01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
19,ARPSIX01,$CSYMB_ARPSIX01_1615,ugly_attribute_edges,six minute mark on ARPA vector,"SY(ARPSIX01,ORIENT)",symbol,$CSYMB,1615,31667,$SCODEARPSIX01,generate_owned,not_approved,out_of_scope,not_in_forge14_scope,ecdis_summary,86,deferred,outside_forge12_scope,none,,,,not_found_by_exact_asset_id,0,,,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
20,BCNCAR01,BCNCAR_BCNCAR01_965,buoy_beacon_marks,"cardinal beacon, north, simplified","SY(BCNCAR01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,965,31017,CATCAM1,external_pd_candidate_needs_review,not_approved,multi_symbol_reference,commons_pd_candidate_needs_review,cardinal_marks,97,manual,no_exact_symbol_crop_final_pass_forbidden,exact_symbol_match,BCNCAR01,PortrayalCatalog/Symbols/BCNCAR01.svg,CardinalBeacon,license_pending_reference,1,File:NChart ECDIS Cardinal simple Beacon N.svg,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
21,BCNCAR02,BCNCAR_BCNCAR02_966,buoy_beacon_marks,"cardinal beacon, east, simplified","SY(BCNCAR02);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,966,31018,CATCAM2,external_pd_candidate_needs_review,not_approved,multi_symbol_reference,commons_pd_candidate_needs_review,cardinal_marks,97,manual,no_exact_symbol_crop_final_pass_forbidden,exact_symbol_match,BCNCAR02,PortrayalCatalog/Symbols/BCNCAR02.svg,CardinalBeacon,license_pending_reference,1,File:NChart ECDIS Cardinal simple Beacon E.svg,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
22,BCNCAR03,BCNCAR_BCNCAR03_967,buoy_beacon_marks,"cardinal beacon, south, simplified","SY(BCNCAR03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,967,31019,CATCAM3,external_pd_candidate_needs_review,not_approved,multi_symbol_reference,commons_pd_candidate_needs_review,cardinal_marks,97,manual,no_exact_symbol_crop_final_pass_forbidden,exact_symbol_match,BCNCAR03,PortrayalCatalog/Symbols/BCNCAR03.svg,CardinalBeacon,license_pending_reference,1,File:NChart ECDIS Cardinal simple Beacon S.svg,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
23,BCNCAR04,BCNCAR_BCNCAR04_968,buoy_beacon_marks,"cardinal beacon, west, simplified","SY(BCNCAR04);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,968,31020,CATCAM4,external_pd_candidate_needs_review,not_approved,multi_symbol_reference,commons_pd_candidate_needs_review,cardinal_marks,97,manual,no_exact_symbol_crop_final_pass_forbidden,exact_symbol_match,BCNCAR04,PortrayalCatalog/Symbols/BCNCAR04.svg,CardinalBeacon,license_pending_reference,1,File:NChart ECDIS Cardinal simple Beacon W.svg,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
24,BCNCON81,BCNSPP_BCNCON81_1781,buoy_beacon_marks,,"SY(BCNCON81);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",symbol,BCNSPP,1781,93806,"BOYSHP1; COLPAT1,2; COLOUR5,3,1,5",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,SpecialPurposeGeneralBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
25,BCNDEF13,BCNSPP_BCNDEF13_1013,buoy_beacon_marks,"default symbol for a beacon, simplified","SY(BCNDEF13);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNSPP,1013,31065,CATSPM52,license_blocked_reference_only,not_approved,multi_symbol_reference,license_blocked_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,exact_symbol_match,BCNDEF13,PortrayalCatalog/Symbols/BCNDEF13.svg,SpecialPurposeGeneralBeacon,license_pending_reference,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
26,BCNGEN01,BCNLAT_BCNGEN01_1756,buoy_beacon_marks,"beacon in general, full-chart","SY(BCNGEN01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNLAT,1756,30044,BCNSHP5; CATLAM1,external_pd_candidate_needs_review,not_approved,multi_symbol_reference,commons_pd_candidate_needs_review,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,exact_symbol_match,BCNGEN01,PortrayalCatalog/Symbols/BCNGEN01.svg,LateralBeacon,license_pending_reference,26,File:NChart ECDIS Lateral simple MajorBeacon Green.svg; File:NChart ECDIS Lateral simple MajorBeacon Red.svg; File:NChart ECDIS Lateral simple MinorBeacon Green.svg; File:NChart ECDIS Lateral simple MinorBeacon Red.svg; File:NChart-Symbol INT Beacon Green ConicalTM.svg; File:NChart-Symbol INT Beacon Green CylindricalTM.svg; File:NChart-Symbol INT Beacon Red ConicalTM.svg; File:NChart-Symbol INT Beacon Red CylindricalTM.svg,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Review Commons candidate license and semantic mapping; promote only after visual QA.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
27,BCNGEN03,BCNCAR_BCNGEN03_1729,buoy_beacon_marks,"default symbol for beacon, paper-chart","SY(BCNGEN03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,1729,30018,,license_blocked_reference_only,not_approved,multi_symbol_reference,license_blocked_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,exact_symbol_match,BCNGEN03,PortrayalCatalog/Symbols/BCNGEN03.svg,CardinalBeacon,license_pending_reference,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Use S-101/external art as reference only; generate owned art or clear license before packaging.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
28,BCNGEN05,BCNSPP_BCNGEN05_1818,buoy_beacon_marks,"beacon in general, white, full-chart","SY(BCNGEN05);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",symbol,BCNSPP,1818,30100,COLOUR1,generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,SpecialPurposeGeneralBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
29,BCNGEN60,bcnlat_BCNGEN60_3001,ugly_attribute_edges,"beacon in general, red, full-chart","SY(BCNGEN60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,bcnlat,3001,3063018,BCNSHP5; COLOUR3,generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,SpecialPurposeGeneralBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
30,BCNGEN61,bcnlat_BCNGEN61_3002,ugly_attribute_edges,"beacon in general, green, full-chart","SY(BCNGEN61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,bcnlat,3002,3063019,BCNSHP5; COLOUR4,generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,SpecialPurposeGeneralBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
31,BCNGEN64,BOYLAT_BCNGEN64_3025,buoy_beacon_marks,"beacon in general, red/white, full-chart","SY(BCNGEN64);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BOYLAT,3025,3063041,"BOYSHP5; COLOUR3,1,3,1",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,LateralBuoy,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
32,BCNGEN65,BOYLAT_BCNGEN65_3024,buoy_beacon_marks,"beacon in general, green/white, full-chart","SY(BCNGEN65);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BOYLAT,3024,3063040,"BOYSHP5; COLOUR4,1,4,1",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_general,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,LateralBuoy,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
33,BCNGEN68,BCNCAR_BCNGEN68_1722,buoy_beacon_marks,"beacon in general, black/yellow, full-chart","SY(BCNGEN68);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,1722,30011,"COLOUR2,6",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_with_topmark,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,CardinalBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
34,BCNGEN69,BCNCAR_BCNGEN69_1723,buoy_beacon_marks,"beacon in general, yellow/black, full-chart","SY(BCNGEN69);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,1723,30012,"COLOUR6,2",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_with_topmark,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,CardinalBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
35,BCNGEN70,BCNCAR_BCNGEN70_1720,buoy_beacon_marks,"beacon in general, black/yellow/back, full-chart","SY(BCNGEN70);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,1720,30009,"COLOUR2,6,2",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_with_topmark,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,CardinalBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
36,BCNGEN71,BCNCAR_BCNGEN71_1721,buoy_beacon_marks,"beacon in general, yellow/back/yellow, full-chart","SY(BCNGEN71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",symbol,BCNCAR,1721,30010,"COLOUR6,2,6",generate_owned,not_approved,multi_symbol_reference,multi_symbol_reference_only,beacon_with_topmark,92; 93; 94,fail,generic_placeholder_body; no_exact_symbol_crop_final_pass_forbidden; wrong_silhouette_or_symbol_body,feature_rule_candidate,,,CardinalBeacon,not_found_by_exact_asset_id,0,,Q7; Q8; Q80; Q81; Q82; Qe; Q90; Q110,,,Generate owned SVG from allowed Chart No.1/public-domain references plus local S-57/S-52 metadata.,OpenCPN GPL rastersymbol sprites; Chart 1 Mappings cropped/extracted artwork without permission; S-101 SVG bodies unless license/permission is cleared for canonical use
