source_table_id,asset,name,kind,s57_object_class,s57_conditions,s52_instruction,opencpn_definition_count,opencpn_lookup_count,opencpn_color_refs,opencpn_reference_day,s101_symbol_ids,s101_paths,aquamap_labels,aquamap_paths,semantic_brief,required_shape,required_colours,colour_pattern,helm_candidate_svg,helm_candidate_day,candidate_status,pre_routing_candidate_status,batch98_routing_bucket,latest_judge_pass,latest_required_change
opencpn-s52:AISDEF01,AISDEF01,AIS target whose heading and course are both unknown,symbol,$CSYMB,$SCODEAISDEF01,SY(AISDEF01),1,2,AARPATCCHMGD,out/opencpn_s52_reference/AISDEF01__day.png,,,,,AISDEF01 is AIS target whose heading and course are both unknown. It is used as a AIS target whose heading and course are both unknown. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AISDEF01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional scale normalization.
opencpn-s52:AISONE01,AISONE01,one minute mark for AIS vector,symbol,$CSYMB,$SCODEAISONE01,SY(AISONE01),1,2,AARPAT,out/opencpn_s52_reference/AISONE01__day.png,,,,,AISONE01 is one minute mark for AIS vector. It is used as a one minute mark for AIS vector. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AISONE01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional shrink to native tick scale.
opencpn-s52:AISSIX01,AISSIX01,six minute mark for AIS vector,symbol,$CSYMB,$SCODEAISSIX01,SY(AISSIX01),1,2,AARPAT,out/opencpn_s52_reference/AISSIX01__day.png,,,,,AISSIX01 is six minute mark for AIS vector. It is used as a six minute mark for AIS vector. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AISSIX01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional source-scale tightening.
opencpn-s52:AISSLP01,AISSLP01,sleeping AIS target,symbol,$CSYMB,$SCODEAISSLP01,"SY(AISSLP01,ORIENT)",1,2,AARPAT,out/opencpn_s52_reference/AISSLP01__day.png,,,,,AISSLP01 is sleeping AIS target. It is used as a sleeping AIS target. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AISSLP01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:AISVES01,AISVES01,active AIS target showing vector and/or heading,symbol,$CSYMB,$SCODEAISVES01,"SY(AISVES01,ORIENT)",1,2,AARPAT,out/opencpn_s52_reference/AISVES01__day.png,,,,,AISVES01 is active AIS target showing vector and/or heading. It is used as a active AIS target showing vector and/or heading. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/AISVES01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:ARCSLN01,ARCSLN01,ARCSLN01,line-style,ARCSLN,,LC(ARCSLN01),0,0,,,,,,,ARCSLN01 is ARCSLN01. It is used as a ARCSLN01. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/ARCSLN01.svg,,style_primitive_registry,pending_judge,style_primitive_registry,,
opencpn-s52:ARPATG01,ARPATG01,ARPA target,symbol,$CSYMB,$SCODEARPATG01,SY(ARPATG01),1,2,eARPAT,out/opencpn_s52_reference/ARPATG01__day.png,,,,,ARPATG01 is ARPA target. It is used as a ARPA target. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/ARPATG01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional scale/stroke pass.
opencpn-s52:ARPONE01,ARPONE01,one minute mark on ARPA vector,symbol,$CSYMB,$SCODEARPONE01,"SY(ARPONE01,ORIENT)",1,2,AARPAT,out/opencpn_s52_reference/ARPONE01__day.png,,,,,ARPONE01 is one minute mark on ARPA vector. It is used as a one minute mark on ARPA vector. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/ARPONE01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; optional shrink to source tick size.
opencpn-s52:ARPSIX01,ARPSIX01,six minute mark on ARPA vector,symbol,$CSYMB,$SCODEARPSIX01,"SY(ARPSIX01,ORIENT)",1,2,AARPAT,out/opencpn_s52_reference/ARPSIX01__day.png,,,,,ARPSIX01 is six minute mark on ARPA vector. It is used as a six minute mark on ARPA vector. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/ARPSIX01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required; recommended source-scale verification before final approval.
opencpn-s52:BCNCAR01,BCNCAR01,"cardinal beacon, north, simplified",symbol,BCNCAR,CATCAM1,"SY(BCNCAR01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BCNCAR01__day.png,BCNCAR01;BCNCAR01,assets/svg/source_priority/s101_exact/BCNCAR01.svg;PortrayalCatalog/Symbols/BCNCAR01.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BCNCARBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARYB1.png;reference_sources/aquamap_map_symbols/images/BCNCARYBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARBYB1.png,"BCNCAR01 is cardinal beacon, north, simplified. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BCNCAR01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:BCNCAR02,BCNCAR02,"cardinal beacon, east, simplified",symbol,BCNCAR,CATCAM2,"SY(BCNCAR02);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BCNCAR02__day.png,BCNCAR02;BCNCAR02,assets/svg/source_priority/s101_exact/BCNCAR02.svg;PortrayalCatalog/Symbols/BCNCAR02.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BCNCARBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARYB1.png;reference_sources/aquamap_map_symbols/images/BCNCARYBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARBYB1.png,"BCNCAR02 is cardinal beacon, east, simplified. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BCNCAR02.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:BCNCAR03,BCNCAR03,"cardinal beacon, south, simplified",symbol,BCNCAR,CATCAM3,"SY(BCNCAR03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BCNCAR03__day.png,BCNCAR03;BCNCAR03,assets/svg/source_priority/s101_exact/BCNCAR03.svg;PortrayalCatalog/Symbols/BCNCAR03.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BCNCARBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARYB1.png;reference_sources/aquamap_map_symbols/images/BCNCARYBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARBYB1.png,"BCNCAR03 is cardinal beacon, south, simplified. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BCNCAR03.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:BCNCAR04,BCNCAR04,"cardinal beacon, west, simplified",symbol,BCNCAR,CATCAM4,"SY(BCNCAR04);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BCNCAR04__day.png,BCNCAR04;BCNCAR04,assets/svg/source_priority/s101_exact/BCNCAR04.svg;PortrayalCatalog/Symbols/BCNCAR04.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BCNCARBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARYB1.png;reference_sources/aquamap_map_symbols/images/BCNCARYBY1.png;reference_sources/aquamap_map_symbols/images/BCNCARBYB1.png,"BCNCAR04 is cardinal beacon, west, simplified. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BCNCAR04.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required.
opencpn-s52:BCNCON81,BCNCON81,BCNCON81,symbol,BCNSPP,"BOYSHP1;COLPAT1,2;COLOUR5,3,1,5","SY(BCNCON81);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",0,1,,,,,,,"BCNCON81 is BCNCON81. It is used as a special-purpose beacon used for named local purposes. Required geometry: conical/nun buoy body. Required colours: blue, red, white, blue with horizontal bands/stripes in the listed colour order; vertical bands/stripes in the listed colour order.",conical/nun buoy body,blue;red;white;blue,horizontal bands/stripes in the listed colour order; vertical bands/stripes in the listed colour order,assets/svg/triad_generated/BCNCON81.svg,,chart1_parity_witness_needed,chart1_fail_repair_queue,chart1_parity_witness_needed,True,
opencpn-s52:BCNDEF13,BCNDEF13,"default symbol for a beacon, simplified",symbol,BCNSPP,CATSPM52,"SY(BCNDEF13);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ACHMGDCCHGRDDOUTLW,out/opencpn_s52_reference/BCNDEF13__day.png,BCNDEF13;BCNDEF13,assets/svg/source_priority/s101_exact/BCNDEF13.svg;PortrayalCatalog/Symbols/BCNDEF13.svg,,,"BCNDEF13 is default symbol for a beacon, simplified. It is used as a special-purpose beacon used for named local purposes. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: reference-defined.",beacon/daymark symbol matching the S-57 beacon family,,,assets/svg/triad_generated/BCNDEF13.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN01,BCNGEN01,"beacon in general, full-chart",symbol,BCNLAT,BCNSHP5;CATLAM1,"SY(BCNGEN01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",2,21,ADEPMDBCHBLK;CCHBLK,out/opencpn_s52_reference/BCNGEN01__day.png,BCNGEN01;BCNGEN01,assets/svg/source_priority/s101_exact/BCNGEN01.svg;PortrayalCatalog/Symbols/BCNGEN01.svg,,,"BCNGEN01 is beacon in general, full-chart. It is used as a lateral beacon used for channel-side marking. Required geometry: pile beacon. Required colours: black.",pile beacon,black,,assets/svg/triad_generated/BCNGEN01.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN03,BCNGEN03,"default symbol for beacon, paper-chart",symbol,BCNCAR,,"SY(BCNGEN03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ACHMGDCCHBLK,out/opencpn_s52_reference/BCNGEN03__day.png,BCNGEN03;BCNGEN03,assets/svg/source_priority/s101_exact/BCNGEN03.svg;PortrayalCatalog/Symbols/BCNGEN03.svg,,,"BCNGEN03 is default symbol for beacon, paper-chart. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: black.",beacon/daymark symbol matching the S-57 beacon family,black,,assets/svg/triad_generated/BCNGEN03.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN05,BCNGEN05,"beacon in general, white, full-chart",symbol,BCNSPP,COLOUR1,"SY(BCNGEN05);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",1,1,ADEPMDBCHBLKCCHWHT,out/opencpn_s52_reference/BCNGEN05__day.png,,,,,"BCNGEN05 is beacon in general, white, full-chart. It is used as a special-purpose beacon used for named local purposes. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: white.",beacon/daymark symbol matching the S-57 beacon family,white,,assets/svg/triad_generated/BCNGEN05.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN60,BCNGEN60,"beacon in general, red, full-chart",symbol,bcnlat,BCNSHP5;COLOUR3,"SY(BCNGEN60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ADEPMDBCHBLKCCHRED,out/opencpn_s52_reference/BCNGEN60__day.png,,,,,"BCNGEN60 is beacon in general, red, full-chart. It is used as a lateral beacon used for channel-side marking. Required geometry: pile beacon. Required colours: red.",pile beacon,red,,assets/svg/triad_generated/BCNGEN60.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN61,BCNGEN61,"beacon in general, green, full-chart",symbol,bcnlat,BCNSHP5;COLOUR4,"SY(BCNGEN61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ADEPMDBCHBLKCCHGRN,out/opencpn_s52_reference/BCNGEN61__day.png,,,,,"BCNGEN61 is beacon in general, green, full-chart. It is used as a lateral beacon used for channel-side marking. Required geometry: pile beacon. Required colours: green.",pile beacon,green,,assets/svg/triad_generated/BCNGEN61.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN64,BCNGEN64,"beacon in general, red/white, full-chart",symbol,BOYLAT,"BOYSHP5;COLOUR3,1,3,1","SY(BCNGEN64);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHWHTDCHRED,out/opencpn_s52_reference/BCNGEN64__day.png,,,,,"BCNGEN64 is beacon in general, red/white, full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: spar buoy body. Required colours: red, white, red, white.",spar buoy body,red;white;red;white,,assets/svg/triad_generated/BCNGEN64.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN65,BCNGEN65,"beacon in general, green/white, full-chart",symbol,BOYLAT,"BOYSHP5;COLOUR4,1,4,1","SY(BCNGEN65);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHWHTDCHGRN,out/opencpn_s52_reference/BCNGEN65__day.png,,,,,"BCNGEN65 is beacon in general, green/white, full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: spar buoy body. Required colours: green, white, green, white.",spar buoy body,green;white;green;white,,assets/svg/triad_generated/BCNGEN65.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN68,BCNGEN68,"beacon in general, black/yellow, full-chart",symbol,BCNCAR,"COLOUR2,6","SY(BCNGEN68);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BCNGEN68__day.png,,,,,"BCNGEN68 is beacon in general, black/yellow, full-chart. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: black, yellow.",beacon/daymark symbol matching the S-57 beacon family,black;yellow,,assets/svg/triad_generated/BCNGEN68.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN69,BCNGEN69,"beacon in general, yellow/black, full-chart",symbol,BCNCAR,"COLOUR6,2","SY(BCNGEN69);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BCNGEN69__day.png,,,,,"BCNGEN69 is beacon in general, yellow/black, full-chart. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: yellow, black.",beacon/daymark symbol matching the S-57 beacon family,yellow;black,,assets/svg/triad_generated/BCNGEN69.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN70,BCNGEN70,"beacon in general, black/yellow/back, full-chart",symbol,BCNCAR,"COLOUR2,6,2","SY(BCNGEN70);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BCNGEN70__day.png,,,,,"BCNGEN70 is beacon in general, black/yellow/back, full-chart. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: black, yellow, black.",beacon/daymark symbol matching the S-57 beacon family,black;yellow;black,,assets/svg/triad_generated/BCNGEN70.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BCNGEN71,BCNGEN71,"beacon in general, yellow/back/yellow, full-chart",symbol,BCNCAR,"COLOUR6,2,6","SY(BCNGEN71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BCNGEN71__day.png,,,,,"BCNGEN71 is beacon in general, yellow/back/yellow, full-chart. It is used as a cardinal beacon used to indicate the safe side of danger. Required geometry: beacon/daymark symbol matching the S-57 beacon family. Required colours: yellow, black, yellow.",beacon/daymark symbol matching the S-57 beacon family,yellow;black;yellow,,assets/svg/triad_generated/BCNGEN71.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
