symbol_name,prefix,symbol_id,reference_number,pdf_page,section,symbol_explanation,lookup_tables_affected,called_by_csp,pivot_column,pivot_row,bbox_width,bbox_height,symbol_colours,pattern_type,pattern_spacing,minimum_distance,maximum_distance,comments,s57_tokens,int1_refs,parse_warnings
SY(BOYCAR01),SY,BOYCAR01,37,38,point_and_centered_area_symbols,"cardinal buoy, north, simplified",simplified point symbols,,2.66,3.13,4.16,6.16,CHYLW; OUTLW,,,,,Line weight 0.3 mm,BOYCAR,Q 130.3,
SY(BOYCAR02),SY,BOYCAR02,38,39,point_and_centered_area_symbols,"cardinal buoy, east, simplified",simplified point symbols,,1.8,3.3,3.65,6.6,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BOYCAR,Q 130.3,
SY(BOYCAR03),SY,BOYCAR03,39,40,point_and_centered_area_symbols,"cardinal buoy, south, simplified",simplified point symbols,,1.2,3.05,4.15,6.1,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BOYCAR,Q 130.3,
SY(BOYCAR04),SY,BOYCAR04,40,41,point_and_centered_area_symbols,"cardinal buoy, west, simplified",simplified point symbols,,3.05,3.05,6.07,6.1,OUTLW; CHYLW,,,,,Line weight 0.3 mm,BOYCAR,Q 130.3,
SY(BOYCON01),SY,BOYCON01,41,42,point_and_centered_area_symbols,"conical buoy, paper-chart",paper chart point symbols,,2.88,4.38,5.75,4.94,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.12 mm,BOYCAR; BOYISD; BOYLAT; BOYSPP,Q 130.3; Q 130.4; Q 130.1; Q 130.6; Q 20,
SY(BOYDEF03),SY,BOYDEF03,42,43,point_and_centered_area_symbols,"default symbol for buoy, simplified",simplified point symbols,,2.03,2.26,7.21,4.43,CHMGD; CHGRD; OUTLW,,,,,Line weight (question mark) 0.3 mm; line weight (question mark dot) 0.6 mm; Line weight 0.3 mm; Circle diameter 4.06 mm; circle filled; Point diameter 0.6 mm,BOYCAR; BOYLAT,Q 130.3; Q 130.1,
SY(BOYGEN03),SY,BOYGEN03,43,44,point_and_centered_area_symbols,"default symbol for buoy, paper-chart",paper chart point symbols,,2.66,4.21,7.65,4.74,CHMGD; CHBLK,,,,,Line weight (question mark) 0.3 mm; line weight (question mark dot) 0.6 mm; Line weight 0.6 mm; Circle diameter 3.46 mm; circle diameter 1.1 mm,BOYCAR; BOYISD; BOYLAT; BOYSAW; BOYSPP,Q 130.3; Q 130.4; Q 130.1; Q 130.5; Q 130.6,
SY(BOYINB01),SY,BOYINB01,44,45,point_and_centered_area_symbols,"installation buoy, paper-chart",paper chart point symbols,,4.29,4.34,8.57,4.99,CHBLK,,,,,Line weight 0.6 mm; Upper circle diameter 1.42 mm; Lower circle diameter 1.3 mm,BOYINB,L 16,
SY(BOYISD12),SY,BOYISD12,45,46,point_and_centered_area_symbols,"isolated danger buoy, simplified",simplified point symbols,,1.88,2.71,3.84,5.44,OUTLW; CHRED,,,,,Line weight 0.3 mm; Circle diameter 2.2 mm,BOYISD,Q 130.4,
SY(BOYLAT13),SY,BOYLAT13,46,47,point_and_centered_area_symbols,"conical lateral buoy, green, simplified",simplified point symbols,,3.09,2.97,4.33,4.39,CHGRN; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYLAT,Q 130.1,
SY(BOYLAT14),SY,BOYLAT14,47,48,point_and_centered_area_symbols,"conical lateral buoy, red, simplified",simplified point symbols,,3.09,2.97,4.33,4.39,CHRED; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYLAT,Q 130.1,
SY(BOYLAT23),SY,BOYLAT23,48,49,point_and_centered_area_symbols,"can shape lateral buoy, green, simplified",simplified point symbols,,2.75,1.91,5.28,3.99,CHGRN; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYLAT,Q 130.1,
SY(BOYLAT24),SY,BOYLAT24,49,50,point_and_centered_area_symbols,"can shape lateral buoy, red, simplified",simplified point symbols,,2.75,1.91,5.28,4.0,CHRED; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYLAT,Q 130.1,
SY(BOYMOR01),SY,BOYMOR01,50,51,point_and_centered_area_symbols,"mooring buoy, barrel shape, paper-chart",paper chart point symbols,,3.45,5.2,6.1,5.8,CHBLK,,,,,Line weight 0.6 mm; Upper circle diameter 1.3 mm; Lower circle diameter 1.2 mm,MORFAC,Q 40-43; Q 40,
SY(BOYMOR03),SY,BOYMOR03,51,52,point_and_centered_area_symbols,"mooring buoy, can shape, paper-chart",paper chart point symbols,,2.85,4.91,6.16,5.56,CHBLK,,,,,Line weight 0.6 mm; Upper circle diameter 1.5 mm; Lower circle diameter 1.3 mm,MORFAC,Q 40-43; Q 40,
SY(BOYMOR11),SY,BOYMOR11,52,53,point_and_centered_area_symbols,"installation buoy and mooring buoy, simplified",paper chart point symbols; simplified point symbols,,3.8,1.75,7.59,3.5,CHBLK,,,,,Line weight 0.3 mm; Point diameter 2.02 mm,BOYINB; MORFAC,L 16; Q 40-43,
SY(BOYPIL01),SY,BOYPIL01,53,54,point_and_centered_area_symbols,"pillar buoy, paper-chart",paper chart point symbols,,3.07,4.32,5.97,4.91,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.18 mm,BOYCAR; BOYISD; BOYLAT; BOYSAW; BOYSPP,Q 23; Q 130.3; Q 130.4; Q 130.1; Q 130.5; Q 130.6,
SY(BOYSAW12),SY,BOYSAW12,54,55,point_and_centered_area_symbols,"safe water buoy, simplified",simplified point symbols,,2.03,2.03,4.06,4.06,CHRED; OUTLW,,,,,Line weight 0.3 mm; circle diameter 4.06 mm; Point diameter 0.6 mm,BOYSAW,Q 130.5,
SY(BOYSPH01),SY,BOYSPH01,55,56,point_and_centered_area_symbols,"spherical buoy, paper-chart",paper chart point symbols,,2.78,4.38,5.65,4.91,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.06 mm,BOYSAW; BOYSPP,Q 22; Q 130.5; Q 130.6,
SY(BOYSPP11),SY,BOYSPP11,56,57,point_and_centered_area_symbols,"special purpose buoy, spherical or barrel shaped, or default symbol for special purpose buoy, simplified",simplified point symbols,,2.0,2.0,4.0,4.0,CHYLW; OUTLW,,,,,Line weight 0.3 mm; circle diameter 4.0 mm; Point diameter 0.6 mm,BOYSPP,Q 50-57; Q 130.6,
SY(BOYSPP15),SY,BOYSPP15,57,58,point_and_centered_area_symbols,"special purpose TSS buoy marking the starboard side of the traffic lane, simplified",simplified point symbols,,2.89,2.99,4.33,4.39,CHYLW; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYSPP,Q 130.6,
SY(BOYSPP25),SY,BOYSPP25,58,59,point_and_centered_area_symbols,"special purpose TSS buoy marking the port side of the traffic lane, simplified",simplified point symbols,,2.75,1.91,5.28,4.0,CHYLW; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYSPP,Q 130.6,
SY(BOYSPP35),SY,BOYSPP35,527,60,point_and_centered_area_symbols,"special purpose ice buoy or spar or pillar shaped buoy, simplified",simplified point symbols,,1.96,2.55,3.26,5.0,CHYLW; OUTLW,,,,,Line weight 0.3 mm; Point diameter 0.6 mm,BOYSPP,Q 130.6,
SY(BOYSPR01),SY,BOYSPR01,59,61,point_and_centered_area_symbols,"spar buoy, paper-chart",paper chart point symbols,,1.47,4.32,2.87,4.91,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.18 mm,BOYCAR; BOYISD; BOYLAT; BOYSAW; BOYSPP,Q 24; Q 130.3; Q 130.4; Q 130.1; Q 130.5; Q 130.6,
SY(BOYSUP01),SY,BOYSUP01,60,62,point_and_centered_area_symbols,"super-buoy, paper-chart",paper chart point symbols,,4.29,4.75,8.57,5.4,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.3 mm,,Q 26,
SY(BOYSUP02),SY,BOYSUP02,61,63,point_and_centered_area_symbols,"super-buoy ODAS & LANBY, simplified",simplified point symbols,,3.84,2.38,7.67,4.75,CHBLK,,,,,Line weight 0.6 mm,BOYSPP,Q 26,
SY(BOYSUP03),SY,BOYSUP03,62,64,point_and_centered_area_symbols,"LANBY, super-buoy, paper-chart",paper chart point symbols,,4.32,5.72,8.57,6.31,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.18 mm,BOYSPP,Q 26,
SY(BRIDGE01),SY,BRIDGE01,63,65,point_and_centered_area_symbols,symbol for opening bridge,line symbols; Pivot point Column: 2.00,,,2.0,4.0,4.0,CHMGD,,,,,Line weight 0.3 mm; Inner circle diameter 2.3 mm; outer circle diameter 4.0 mm,BRIDGE,D 23.1-23; D 23.1,missing_pivot_point_column
SY(BRTHNO01),SY,BRTHNO01,64,66,point_and_centered_area_symbols,berth number symbol,line symbols; paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,3.5,3.5,7.0,7.0,CHMGD,,,,,Line weight 0.3 mm; circle diameter 7.0 mm,BERTHS,F 19,
SY(BUAARE02),SY,BUAARE02,65,67,point_and_centered_area_symbols,built-up area as a point at small scale,paper chart point symbols; simplified point symbols,,2.56,2.54,5.18,5.18,LANDF,,,,,Filled circle diameter 5.18 mm,BUAARE,D 3; G 50-54,
SY(BUIREL01),SY,BUIREL01,66,68,point_and_centered_area_symbols,"non-conspicuous religious building, Christian",paper chart point symbols; simplified point symbols,,2.0,2.0,4.0,4.0,LANDF,,,,,Line weight 0.3 mm,BUISGL; LNDMRK,E 10.1; G 75; E 10.2,
SY(BUIREL04),SY,BUIREL04,67,69,point_and_centered_area_symbols,"non-conspicuous religious building, non-Christian",paper chart point symbols; simplified point symbols,,2.88,1.47,5.72,2.84,LANDF,,,,,Line weight 0.3 mm,BUISGL,E 13-16; E 16,
SY(BUIREL05),SY,BUIREL05,68,70,point_and_centered_area_symbols,mosque or minaret,paper chart point symbols; simplified point symbols,,1.85,3.68,3.49,4.66,LANDF,,,,,Line weight 0.3 mm; Circle diameter 1.98 mm; point diameter 0.7 mm,BUISGL,E 17,
SY(BUIREL13),SY,BUIREL13,69,71,point_and_centered_area_symbols,"conspicuous religious building, Christian",paper chart point symbols; simplified point symbols,,2.0,2.0,,4.0,CHBLK,,,,,Line weight 0.6 mm,BUISGL; LNDMRK,E 10.1; E 10.2; E 10.4,missing_width_of_bounding_box
SY(BUIREL14),SY,BUIREL14,70,72,point_and_centered_area_symbols,"conspicuous religious building, non-Christian",paper chart point symbols; simplified point symbols,,2.88,1.47,5.72,2.84,CHBLK,,,,,Line weight 0.6 mm,BUISGL,E 13-16; E 16,
SY(BUIREL15),SY,BUIREL15,71,73,point_and_centered_area_symbols,conspicuous mosque or minaret,paper chart point symbols; simplified point symbols,,1.83,3.65,3.49,4.66,CHBLK,,,,,Line weight 0.6 mm; Circle diameter 1.98 mm; point diameter 0.7 mm,BUISGL,E 17,
SY(BUISGL01),SY,BUISGL01,72,74,point_and_centered_area_symbols,single building,paper chart point symbols; simplified point symbols,,1.32,1.32,2.5,2.5,LANDF; CHBRN,,,,,Line weight 0.3 mm,BUISGL,D 5; G 60-63,
SY(BUISGL11),SY,BUISGL11,73,75,point_and_centered_area_symbols,conspicuous single building,paper chart point symbols; simplified point symbols,,1.32,1.32,2.5,2.5,LANDF; CHBLK,,,,,Line weight 0.6 mm,BUISGL,D 5; G 60-63,
SY(CAIRNS01),SY,CAIRNS01,74,76,point_and_centered_area_symbols,cairn,paper chart point symbols; simplified point symbols,,2.4,4.4,4.68,4.77,LANDF,,,,,Line weight 0.3 mm; Diameter of the three circles 2.3 mm; base circle diameter 0.6 mm,BCNSPP; LNDMRK,Q 100,
SY(CAIRNS11),SY,CAIRNS11,75,77,point_and_centered_area_symbols,conspicuous cairn,paper chart point symbols; simplified point symbols,,2.4,4.4,4.68,4.77,CHBLK,,,,,Line weight 0.6 mm; Diameter of the three circles 2.3 mm; base circle diameter 0.6 mm,BCNSPP; LNDMRK,Q 100,
SY(CBLARE51),SY,CBLARE51,76,78,point_and_centered_area_symbols,cable area,area symbols with plain boundaries; area symbols with symbolized boundaries,,1.71,5.66,3.74,11.12,CHMGF,,,,,Line weight 0.6 mm,CBLARE,L 30.2; L 31.2,
SY(CGUSTA02),SY,CGUSTA02,77,79,point_and_centered_area_symbols,coastguard station,paper chart point symbols; simplified point symbols,,0.29,4.36,7.02,4.69,LANDF; CHWHT; CHMGF,,,,,Line weight 0.6 mm; Point diameter 0.92 mm,CGUSTA,T 10,
SY(CHCRDEL1),SY,CHCRDEL1,78,80,point_and_centered_area_symbols,this object has been manually deleted or modified,N/A,,4.09,4.01,8.05,8.05,CHCOR,,,,,Line weight 0.3 mm; See PresLib section 8.7.1,,,
SY(CHCRID01),SY,CHCRID01,79,81,point_and_centered_area_symbols,this object has been manually updated,N/A,,0.49,0.03,0.98,6.02,CHCOR,,,,,Line weight 0.3 mm; circle diameter 0.98 mm; See PresLib section 8.7.1,,,
SY(CHDATD01),SY,CHDATD01,591,82,point_and_centered_area_symbols,"This object is a date dependent by attribute DATSTA, DATEND, PERSTA and/or PEREND",N/A,,15.48,1.42,16.9,16.61,CHMGD,,,,,Line weight 0.6 mm; circle diameter 2.2 mm; See PresLib section 10.4.1,,,
SY(CHIMNY01),SY,CHIMNY01,80,83,point_and_centered_area_symbols,chimney,paper chart point symbols; simplified point symbols,,1.75,6.16,4.78,6.72,LANDF,,,,,Line weight 0.3mm,LNDMRK,E 22,
SY(CHIMNY11),SY,CHIMNY11,81,84,point_and_centered_area_symbols,conspicuous chimney,paper chart point symbols; simplified point symbols,,1.75,6.16,4.78,6.72,CHBLK,,,,,Line weight 0.6 mm,LNDMRK,E 22,
SY(CHINFO06),SY,CHINFO06,82,85,point_and_centered_area_symbols,HO caution note,paper chart point symbols; simplified point symbols,,2.56,2.54,5.18,5.18,CHMGD,,,,,Line weight 0.3 mm; circle diameter 5.18 mm,CTNARE; DAMCON; MIPARE; SPLARE,M 29.2; F 44; N 30-33; N 30; N 13,
SY(CHINFO07),SY,CHINFO07,83,86,point_and_centered_area_symbols,HO information note,paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,2.35,2.54,4.95,4.95,CHMGD,,,,,Line weight 0.3 mm,CTSARE; DMPGRD; HRBFAC; ICNARE; M_NPUB; PIPARE,N 64; N 23; N 62.2; F 10; U 1.1; N 65; L 40.2; L 40.1,
SY(CHINFO08),SY,CHINFO08,84,87,point_and_centered_area_symbols,mariner's information note,paper chart point symbols; simplified point symbols,,2.35,2.54,4.95,4.95,NINFO,,,,,Line weight 0.3 mm,,,
SY(CHINFO09),SY,CHINFO09,85,88,point_and_centered_area_symbols,mariners caution note,paper chart point symbols; simplified point symbols,,2.56,2.54,5.18,5.18,NINFO,,,,,line weight 0.3 mm; circle diameter 5.18 mm,,,
SY(CHINFO10),SY,CHINFO10,86,89,point_and_centered_area_symbols,manufacturer's information note,paper chart point symbols; simplified point symbols,,2.35,2.54,4.95,4.95,ADINF,,,,,Line weight 0.3 mm,,,
SY(CHINFO11),SY,CHINFO11,87,90,point_and_centered_area_symbols,manufacturer's caution note,paper chart point symbols; simplified point symbols,,2.56,2.54,5.18,5.18,ADINF,,,,,Line weight 0.3 mm; circle diameter 5.18 mm,,,
SY(CHKPNT01),SY,CHKPNT01,591,91,point_and_centered_area_symbols,customs symbol,area symbols with plain boundaries; area symbols with symbolized boundaries; paper chart point symbols; simplified point symbols,,2.0,2.0,4.0,4.0,LANDF,,,,,Line weight 0.3 mm; circle diameter 4.00 mm,BUISGL,F 61,
SY(CHKSYM01),SY,CHKSYM01,88,92,point_and_centered_area_symbols,"test symbol for checking symbol sizes, should measure 5 mm by 5 mm",N/A,,2.61,2.49,5.0,5.0,CHBLK; OUTLW,,,,,Line weight 0.3 mm; PresLib section 8.3.5,,,
SY(CHRVDEL1),SY,CHRVDEL1,592,93,point_and_centered_area_symbols,This object has been deleted by an automatic update,N/A,,4.49,4.5,8.99,8.99,CHCOR,,,,,Line weight 0.9 mm; See PresLib section 10.7.2,,,
SY(CHRVID01),SY,CHRVID01,593,94,point_and_centered_area_symbols,This object has been inserted or modified by an automatic update,N/A,,1.97,0.47,3.94,9.94,CHCOR,,,,,Line weight 0.9 mm; circle diameter 3.00 mm; See PresLib section 10.7.2,,,
SY(CRANES01),SY,CRANES01,90,95,point_and_centered_area_symbols,cranes,paper chart point symbols; simplified point symbols,,2.5,4.5,6.0,5.0,LANDF,,,,,Line weight 0.6 mm; circle diameter 1.0 mm,CRANES,F 53.1; F 53.2,
SY(CTNARE51),SY,CTNARE51,91,96,point_and_centered_area_symbols,"caution area, a specific caution note applies",area symbols with plain boundaries; area symbols with symbolized boundaries,,17.85,-6.0,9.94,9.94,TRFCF,,,,,Line weight 0.6 mm; circle diameter 9.94 mm,CTNARE; TSSLPT,M 29.2,
SY(CTYARE51),SY,CTYARE51,92,97,point_and_centered_area_symbols,cautionary area (e.g. ferry area) navigate with caution,area symbols with plain boundaries; area symbols with symbolized boundaries,"CSP RESARE04 Continuation D, E; CSP RESCSP02 Continuation D",17.85,-6.0,9.94,9.94,TRFCF,,,,,Line weight 0.6 mm; circle diameter 9.94 mm,MIPARE; OSPARE; SPLARE; SUBTLN,N 30-33; N 31; L4; N 13; N 33,
SY(CTYARE71),SY,CTYARE71,93,98,point_and_centered_area_symbols,cautionary area with further information,N/A,"CSP RESARE04 Continuation D, E; CSP RESCSP02 Continuation D",20.26,-6.0,12.35,9.94,TRFCF; CHMGD,,,,,Line weight 0.6 mm; circle diameter 9.94 mm;; Line weight of “i” 0.3 mm;; The “i” at bottom left indicates that further information is available about the; nature of the restriction.,,,
SY(CURDEF01),SY,CURDEF01,94,99,point_and_centered_area_symbols,current or tidal stream whose direction is not known,paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,4.88,4.48,10.09,9.08,CHGRD,,,,,Line weight 0.3 mm,TS_FEB,H 40; H 41,
SY(CURENT01),SY,CURENT01,95,100,point_and_centered_area_symbols,non-tidal current,paper chart point symbols; area symbols with plain boundaries; simplified point symbols; area symbols with symbolized boundaries,,1.01,4.48,2.02,9.08,CHGRD,,,,,Line weight 0.3 mm,CURENT,H 42; H 43,
